country,2015,2016,2017,2018,2019,2020
GHA,22279165582.7302,21996492910.414,25172990000.0,27740645304.6924,31343329905.2418,28682367748.3215
MEX,477772353312.0,469357519270.0,510736371978.0,563430009809.0,559011970545.0,470959345599.0
PAN,32602900000.0,31500381218.47,32919801302.16,35657467007.2,34210781194.99,21442022988.62
QAT,70630219780.2198,71700549450.5494,71194780219.7802,77570329670.3297,80122802197.8022,72587087912.0879
THA,255283944026.43,247113637300.848,276766346951.459,316847534599.611,303921452758.269,255277379198.313
USA,3411284000000.0,3381082000000.0,3642316000000.0,3968745000000.0,3999195000000.0,3585788000000.0
IND,381007760000.0,384357030000.0,465580990000.0,514078420000.0,474709280000.0,394435880000.0
